rank,address,balance,crawled
1,34xp4vRoCGJym3xR7yCVPFHoCNxv4Twseowallet: Binance-coldwallet,252597.0,2022-05-13
2,bc1qgdjqv0av3q56jvd82tkdjpy7gdp9ut8tlqmgrpmv24sq90ecnvqqjw..vw97wallet: Bitfinex-coldwallet,168010.0,2022-05-13
3,1P5ZEDWTKTFGxQjZphgWPQUpe554WKDfHQ,126238.0,2022-05-13
4,3LYJfcfHPXYJreMsASk2jkn69LWEYKzexbwallet: Binance-BTCB-Reserve,116601.0,2022-05-13
5,bc1qazcm763858nkj2dj986etajv6wquslv8uxwczt,94643.0,2022-05-13
6,37XuVSEpWW4trkfmvWzegTHQt7BdktSKUswallet: 77604498,94505.0,2022-05-13
7,3M219KR5vEneNb47ewrPfWyb5jQ2DjxRP6wallet: Binance-coldwallet,90913.0,2022-05-13
8,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,79957.0,2022-05-13
9,bc1qa5wkgaew2dkv56kfvj49j0av5nml45x9ek9hz6,69370.0,2022-05-13
10,38UmuUqPCrFmQo4khkomQwZ4VbY2nZMJ67 2-of-6wallet: OKEX-coldwallet,69067.0,2022-05-13
11,3JZq4atUahhuA9rLhXLMhhTo133J9rF97jwallet: Bitfinex-coldwallet,60049.0,2022-05-13
12,bc1qd4ysezhmypwty5dnw7c8nqy5h5nxg0xqsvaefd0qn5kq32vwnwqqgv..4rzr,57300.0,2022-05-13
13,1LdRcdxfbSnmCYYNdeYpUnztiYzVfBEQeC,53880.0,2022-05-13
14,3FpYfDGJSdkMAvZvCrwPHDqdmGqUkTsJyswallet: 68880850,51927.0,2022-05-13
15,1AC4fMwgY8j9onSbXEWeH6Zan8QGMSdmtA,51830.0,2022-05-13
16,bc1qmxjefnuy06v345v6vhwpwt05dztztmx4g3y7wp,49826.0,2022-05-13
17,1LruNZjwamWJXThX2Y8C2d47QqhAkkc5os,44000.0,2022-05-13
18,3Kzh9qAqVWQhEsfQz7zEQL1EuSx5tyNLNS 2-of-3wallet: OKEX-coldwallet,43683.0,2022-05-13
19,3Gpex6g5FPmYWm26myFq7dW12ntd8zMcCY,40014.0,2022-05-13
20,3LQUu4v9z6KNch71j7kbj8GPeAGUo1FW6a,37927.0,2022-05-13
21,bc1q7ydrtdn8z62xhslqyqtyt38mm4e2c4h3mxjkug,36000.0,2022-05-13
22,3FupZp77ySr7jwoLYEJ9mwzJpvoNBXsBnEwallet: OKEX-coldwallet,34603.0,2022-05-13
23,3LCGsSmfr24demGvriN4e3ft8wEcDuHFqh 2-of-2wallet: CoinCheck,34487.0,2022-05-13
24,bc1q5pucatprjrqltdp58f92mhqkfuvwpa43vhsjwpxlryude0plzyhqjk..qazpwallet: 74771965,33776.0,2022-05-13
25,12XqeqZRVkBDgmPLVY4ZC6Y4ruUUEug8Fx,32321.0,2022-05-13
26,bc1qx9t2l3pyny2spqpqlye8svce70nppwtaxwdrp4,31643.0,2022-05-13
27,3FHNBLobJnbCTFTVakh5TXmEneyf5PT61B,31275.0,2022-05-13
28,385cR5DM96n1HvBDMzLHPYcw89fZAXULJPwallet: Bittrex-coldwallet,31202.0,2022-05-13
29,12ib7dApVFvg82TXKycWBNpN8kFyiAN1drwallet: 967,31000.0,2022-05-13
30,bc1qr4dl5wa7kl8yu792dceg9z5knl2gkn220lk7a9,30554.0,2022-05-13
31,bc1qjysjfd9t9aspttpjqzv68k0ydpe7pvyd5vlyn37868473lell5tqkz..456m,29060.0,2022-05-13
32,12tkqA9xSoowkzoERHMWNKsTey55YEBqkv,28151.0,2022-05-13
33,159QgP4Ewvadjc4HDpaaR6pir2R4ZfzVfQwallet: 75561360,26415.0,2022-05-13
34,17MWdxfjPYP2PYhdy885QtihfbW181r1rn,24495.0,2022-05-13
35,1aXzEKiDJKzkPxTZy9zGc3y1nCDwDPub2wallet: 30100391,24181.0,2022-05-13
36,19D5J8c59P2bAkWKvxSYw8scD3KUNWoZ1C,23969.0,2022-05-13
37,1932eKraQ3Ad9MeNBHb14WFQbNrLaKeEpT,22900.0,2022-05-13
38,1MDq7zyLw6oKichbFiDDZ3aaK59byc6CT8,22400.0,2022-05-13
39,3GoyTuGqJUC6PhLx2PzVXcz86rjsAMBtoS,21744.0,2022-05-13
40,bc1qtw30nantkrh7y5ue73gm4mmy0zezfqxug3psr94sd967qwg7f76scf..mr9pwallet: 74625152,20136.0,2022-05-13
41,3HSMPBUuAPQf6CU5B3qa6fALrrZXswHaF1wallet: OKEX-coldwallet,20077.0,2022-05-13
42,17rm2dvb439dZqyMe2d4D6AQJSgg6yeNRn,20008.0,2022-05-13
43,19r6sRMjuF5YnMPkohcD1fES8CdGGcpa9F,19575.0,2022-05-13
44,1PeizMg76Cf96nUQrYg8xuoZWLQozU5zGW,19414.0,2022-05-13
45,bc1qm34lsc65zpw79lxes69zkqmk6ee3ewf0j77s3h,19153.0,2022-05-13
46,3K5dmrkBMS8ZVgERMLwiw7PJuG8GWTbo8e,18600.0,2022-05-13
47,3DVJfEsDTPkGDvqPCLC41X85L1B1DQWDyhwallet: OKEX-coldwallet,18304.0,2022-05-13
48,bc1qqn4q5yv7feltnsfwzxwm3fluryqqzhhp6457h6m4ytq7mauxlxgq87..2p5fwallet: 74771965,18121.0,2022-05-13
49,3H5JTt42K7RmZtromfTSefcMEFMMe18pMDwallet: Poloniex-coldwallet,16786.0,2022-05-13
50,bc1q080rkmk3kj86pxvf5nkxecdrw6nrx3zzy9xl7qwallet: 68700104,16666.0,2022-05-13
51,34HpHYiyQwg69gFmCq2BGHjF1DZnZnBeBP,16307.0,2022-05-13
52,1GR9qNz7zgtaW5HwwVpEJWMnGWhsbsieCG,15746.0,2022-05-13
53,1FZy7CPFA2UqqQJYUA1cG9KvdDFbSMBJYG,15669.0,2022-05-13
54,39gUvGynQ7Re3i15G3J2gp9DEB9LnLFPMN,15605.0,2022-05-13
55,15pqaBHFwFEphRqmXAPbs3QRLLPB7e2uMb,15345.0,2022-05-13
56,1KUr81aewyTFUfnq4ZrpePZqXixd59ToNn,15000.0,2022-05-13
57,3BMEXqGpG4FxBA1KWhRFufXfSTRgzfDBhJ 3-of-4wallet: BITMEX-coldwallet,14770.0,2022-05-13
58,3EMVdMehEq5SFipQ5UfbsfMsH223sSz9A9 4-of-8,14510.0,2022-05-13
59,36rPiyFi4pZmnAyYbDTABqLN3WcWP6yJXS 2-of-5,14500.0,2022-05-13
60,bc1qr5a33u6ahq08emacspkcyfgqjx4fw2rh27ukxj,14458.0,2022-05-13
61,19iqYbeATe4RxghQZJnYVFU4mjUUu76EA6wallet: 62084963,14184.0,2022-05-13
62,1BZaYtmXka1y3Byi2yvXCDG92Tjz7ecwYj,14000.0,2022-05-13
63,bc1qtq5zfllw9fs9w6stnfgalf9v59fgrcxxyawuvmwallet: 74882424,13319.0,2022-05-13
64,bc1q4vxn43l44h30nkluqfxd9eckf45vr2awz38lwa,13003.0,2022-05-13
65,bc1qjuv09uhkfzejfd64heew9g7kr6a9gsedcdn2md22vqdksdu0ar3s4l..204h,12813.0,2022-05-13
66,3ETUmNhL2JuCFFVNSpk8Bqx2eorxyP9FVhwallet: OKEX-coldwallet,12570.0,2022-05-13
67,39WQqCosC8ZD4S9XBPHRnnRUeVRvNctnnmwallet: 77570483,12251.0,2022-05-13
68,1JehwyndFWmo4Q4DYRoATM32Dq18SpQycBwallet: 75561360,12200.0,2022-05-13
69,3GWUKxq55XsQ7rkzbxAgfSyf6KHp8Ljh3R 2-of-3,12000.0,2022-05-13
70,bc1q4ph3834lsfcx87k3hh3jmzkrfygthtswtpcjnst4dnjqfjvrsjfqzn..urmzwallet: 74771965,11530.0,2022-05-13
71,1F34duy2eeMz5mSrvFepVzy7Y1rBsnAyWC,10771.0,2022-05-13
72,bc1qw0pswznckx7s6tjmd2f5hrx4q6kc5nyrdxku50,10678.0,2022-05-13
73,bc1qhd0r5kh3u9mhac7de58qd2rdfx4kkv84kpx302,10500.0,2022-05-13
74,35pgGeez3ou6ofrpjt8T7bvC9t6RrUK4p6 2-of-3wallet: 69400086,10354.0,2022-05-13
75,bc1qjh0akslml59uuczddqu0y4p3vj64hg5mc94c40,10297.0,2022-05-13
76,3LHZNTmeQqzKqqGLXUDxq7uGUX59qDvoEUwallet: 49477721,10124.0,2022-05-13
77,1f1miYFQWTzdLiCBxtHHnNiW7WAWPUccr,10009.0,2022-05-13
78,bc1qsxdxm0exqdsmnl9ejrz250xqxrxpxkgf5nhhtq,10002.0,2022-05-13
79,bc1qtef0p08lputg4qazhx2md43ynhc9kp20pn297qnz68068d9z48asme..manj,10001.0,2022-05-13
80,1BAFWQhH9pNkz3mZDQ1tWrtKkSHVCkc3fV,10000.0,2022-05-13
81,bc1qe75775tzuvspl59cw77ycc472jl0sgue69x3up,10000.0,2022-05-13
82,14YK4mzJGo5NKkNnmVJeuEAQftLt795Gec,10000.0,2022-05-13
83,1Ki3WTEEqTLPNsN5cGTsMkL2sJ4m5mdCXT,10000.0,2022-05-13
84,1KbrSKrT3GeEruTuuYYUSQ35JwKbrAWJYm,10000.0,2022-05-13
85,1P1iThxBH542Gmk1kZNXyji4E4iwpvSbrt,10000.0,2022-05-13
86,12tLs9c9RsALt4ockxa1hB4iTCTSmxj2me,10000.0,2022-05-13
87,1ucXXZQSEf4zny2HRwAQKtVpkLPTUKRtt,10000.0,2022-05-13
88,1CPaziTqeEixPoSFtJxu74uDGbpEAotZom,10000.0,2022-05-13
89,1LfV1tSt3KNyHpFJnAzrqsLFdeD2EvU1MKwallet: 33664448,10000.0,2022-05-13
90,bc1qm6q8tgml3cr9gpx63a5jqtj2dxlsyz4q3ghjlf,10000.0,2022-05-13
91,bc1q4srun4yspqem2pqgk47eq9jspcht3fmyrmfdeu,10000.0,2022-05-13
92,bc1qe39l9l84sa44r9j2jjkgdc7p4ltj3sracd932k,10000.0,2022-05-13
93,1EU2pMence1UfifCco2UHJCdoqorAtpT7,10000.0,2022-05-13
94,bc1qlkdlchlylfdkspvevnlqqlmt4l222hwva2z3n7,9906.0,2022-05-13
95,bc1qg6kqkkaexnxpvle8w3zy5j7w4k9uz5rqmrx5lw,9905.0,2022-05-13
96,bc1qqdykm85ycxjqjh5hrkwmewts02mm6ku5rlck3m,9904.0,2022-05-13
97,bc1qgc5h9vz0zp4cmlxuw0h6jgryetq08e4twen03f,9903.0,2022-05-13
